match_ID, participant, champ, win, kills, assists, deaths, gold_earned, p_damage_to_champs, m_damage_to_champs, max_multi_kill, max_crit, damage_taken, no_killing_spree, creep_score, jungle_killed, cc_dealt, wards_placed, total_heal
2026610783 , 1 , Karma , 1 , 2 , 8 , 1 , 6865 , 1035 , 4025 , 2 , 0 , 8073 , 1 , 20 , 0 , 163 , 16 , 1134 , 
2026610783 , 2 , Caitlyn , 1 , 2 , 3 , 3 , 8014 , 5585 , 207 , 1 , 1100 , 7410 , 0 , 136 , 4 , 20 , 6 , 1362 , 
2026610783 , 3 , Orianna , 1 , 3 , 7 , 0 , 8440 , 555 , 6847 , 1 , 0 , 6848 , 1 , 137 , 5 , 804 , 6 , 1337 , 
2026610783 , 4 , DrMundo , 1 , 7 , 5 , 1 , 8974 , 3577 , 6510 , 2 , 0 , 17087 , 1 , 20 , 61 , 553 , 14 , 8175 , 
2026610783 , 5 , Jax , 1 , 7 , 4 , 3 , 10090 , 7938 , 5053 , 2 , 0 , 15120 , 3 , 133 , 10 , 34 , 6 , 3554 , 
2026610783 , 6 , Janna , 0 , 1 , 6 , 5 , 5634 , 1290 , 1766 , 1 , 0 , 9664 , 0 , 12 , 0 , 94 , 12 , 2159 , 
2026610783 , 7 , Jinx , 0 , 1 , 5 , 3 , 6803 , 9711 , 245 , 1 , 1162 , 8234 , 0 , 130 , 3 , 87 , 7 , 1165 , 
2026610783 , 8 , Elise , 0 , 3 , 4 , 3 , 6961 , 1094 , 6521 , 2 , 0 , 14033 , 1 , 35 , 41 , 315 , 10 , 3097 , 
2026610783 , 9 , Olaf , 0 , 2 , 1 , 8 , 6682 , 7772 , 0 , 1 , 0 , 15385 , 0 , 105 , 7 , 287 , 7 , 960 , 
2026610783 , 10 , TwistedFate , 0 , 1 , 1 , 2 , 6739 , 342 , 5983 , 1 , 0 , 9442 , 0 , 110 , 10 , 96 , 12 , 472 , 
2026610843 , 1 , Leblanc , 1 , 17 , 3 , 4 , 12791 , 1274 , 17181 , 2 , 0 , 16073 , 3 , 126 , 4 , 102 , 4 , 1816 , 
